u1 : GeneI13 (internal13) 
u2 : Gene79 (Specie79) 
u3 : Gene78 (Specie78) 
u4 : Gene70 (Specie70) 
u5 : Gene69 (Specie69) 
u6 : Gene68 (Specie14) 
u7 : Gene66 (Specie14) 
u13 : Gene65 (Specie26) 
u14 : Gene64 (Specie26) 
u15 : Gene63 (Specie26) 
u18 : Gene62 (Specie26) 
u19 : Gene61 (Specie26) 
u20 : Gene60 (Specie26) 
u21 : Gene59 (Specie35) 
u22 : Gene58 (Specie26) 
u23 : Gene57 (Specie57) 
u24 : Gene56 (Specie57) 
u25 : Gene55 (Specie57) 
u34 : Gene54 (Specie87) 
u35 : Gene53 (Specie41) 
u36 : Gene52 (Specie33) 
u39 : Gene51 (Specie38) 
u40 : Gene50 (Specie37) 
u46 : Gene49 (Specie49) 
u47 : Gene48 (Specie48) 
u49 : Gene47 (Specie47) 
u50 : Gene46 (Specie46) 
u53 : Gene80 (Specie51) 
u54 : Gene44 (Specie51) 
u55 : Gene43 (Specie51) 
u58 : Gene42 (Specie25) 
u59 : Gene41 (Specie25) 
u60 : Gene87 (Specie25) 
u61 : Gene39 (Specie38) 
u62 : Gene38 (Specie25) 
u63 : Gene37 (Specie12) 
u64 : GeneI3 (Specie25) 
u71 : Gene35 (Specie35) 
u72 : Gene34 (Specie34) 
u73 : Gene33 (Specie33) 
u80 : Gene32 (Specie37) 
u81 : Gene31 (Specie37) 
u83 : Gene30 (Specie37) 
u84 : Gene29 (Specie37) 
u85 : Gene28 (Specie37) 
u89 : Gene83 (Specie22) 
u90 : Gene26 (Specie10) 
u91 : Gene25 (Specie10) 
u92 : Gene24 (Specie10) 
u96 : Gene23 (Specie23) 
u97 : Gene22 (Specie22) 
u98 : Gene21 (Specie21) 
u99 : Gene20 (Specie42) 
u100 : GeneI26 (Specie42) 
u107 : Gene18 (Specie14) 
u108 : Gene86 (Specie14) 
u109 : Gene16 (Specie14) 
u110 : Gene85 (Specie14) 
u111 : Gene14 (Specie14) 
u112 : Gene13 (Specie14) 
u113 : Gene12 (Specie43) 
u120 : Gene11 (Specie11) 
u121 : Gene10 (Specie10) 
u123 : Gene9 (Specie9) 
u124 : Gene8 (Specie8) 
u128 : Gene82 (Specie58) 
u129 : Gene6 (Specie8) 
u131 : Gene5 (Specie5) 
u132 : Gene4 (Specie4) 
u136 : Gene3 (Specie3) 
u137 : Gene2 (Specie2) 
u139 : Gene1 (Specie1) 
u140 : Gene0 (Specie0) 
u142 : Gene149 (Specie149) 
u145 : Gene148 (Specie148) 
u146 : Gene147 (Specie92) 
u148 : Gene146 (Specie146) 
u149 : Gene145 (Specie145) 
u150 : Gene144 (Specie144) 
u153 : Gene143 (Specie143) 
u154 : Gene142 (Specie142) 
u155 : Gene141 (Specie141) 
u158 : Gene140 (Specie140) 
u159 : Gene139 (Specie139) 
u160 : Gene138 (Specie138) 
u163 : Gene137 (Specie137) 
u164 : Gene136 (Specie136) 
u171 : Gene135 (Specie93) 
u172 : GeneI8 (internal8) 
u173 : Gene72 (Specie92) 
u176 : Gene133 (Specie133) 
u177 : Gene132 (Specie132) 
u178 : Gene131 (Specie131) 
u181 : Gene75 (Specie75) 
u182 : Gene129 (Specie129) 
u183 : Gene84 (Specie84) 
u191 : Gene127 (Specie127) 
u192 : Gene126 (Specie126) 
u193 : Gene125 (Specie125) 
u194 : Gene124 (Specie124) 
u195 : Gene123 (Specie123) 
u200 : Gene122 (Specie122) 
u201 : Gene121 (Specie121) 
u204 : Gene120 (Specie120) 
u205 : Gene81 (Specie81) 
u206 : Gene74 (Specie74) 
u207 : Gene117 (Specie117) 
u211 : Gene116 (Specie116) 
u212 : Gene71 (Specie71) 
u213 : Gene114 (Specie114) 
u216 : Gene113 (Specie113) 
u217 : Gene112 (Specie112) 
u218 : Gene111 (Specie111) 
u221 : Gene110 (Specie110) 
u222 : Gene109 (Specie109) 
u223 : Gene108 (Specie108) 
u224 : Gene107 (Specie107) 
u225 : Gene76 (Specie76) 
u233 : Gene105 (Specie105) 
u234 : Gene104 (Specie104) 
u235 : Gene103 (Specie103) 
u236 : Gene102 (Specie102) 
u240 : Gene101 (Specie101) 
u241 : Gene100 (Specie100) 
u242 : Gene99 (Specie99) 
u243 : Gene98 (Specie98) 
u244 : Gene97 (Specie97) 
u245 : Gene96 (Specie96) 
u246 : Gene67 (Specie67) 
u247 : Gene94 (Specie94) 
u248 : Gene93 (Specie93) 
u249 : Gene92 (Specie92) 
u259 : Gene91 (Specie91) 
u260 : Gene90 (Specie90) 
u262 : Gene89 (Specie89) 
u263 : Gene88 (Specie88) 
