
code	|	name	|	preferred name	|	taxid
1	|	Clostridium hylemonae	|	[Clostridium] hylemonae	|	89153
1	|	Desulfovibrio magneticus	|	 	|	184917
1	|	Bacillus pumilus	|	 	|	1408
1	|	Roseburia inulinivorans	|	 	|	360807
1	|	Sphingobacterium sp. 21	|	 	|	743722
1	|	Zunongwangia profunda	|	 	|	398743
1	|	Dorea formicigenerans	|	 	|	39486
1	|	Arcobacter butzleri	|	 	|	28197
1	|	Riemerella anatipestifer	|	 	|	34085
2	|	Legionella pneumophila Paris	|	Legionella pneumophila str. Paris	|	297246
1	|	Bacillus licheniformis	|	 	|	1402
1	|	Mucilaginibacter paludis	|	 	|	423351
3	|	Flavobacteriales bacterium ALC1	|	 	|	 
1	|	Mesorhizobium loti	|	 	|	381
1	|	Hylemonella gracilis	|	 	|	80880
1	|	Bacillus atrophaeus	|	 	|	1452
1	|	Burkholderia pseudomallei	|	 	|	28450
1	|	Desmospora sp. 8437	|	 	|	997346
1	|	Staphylococcus lugdunensis	|	 	|	28035
2	|	Clostridium lentocellum	|	Cellulosilyticum lentocellum	|	29360
1	|	Burkholderia glumae	|	 	|	337
2	|	Ralstonia eutropha H16	|	Cupriavidus necator H16	|	381666
1	|	Eubacterium rectale	|	[Eubacterium] rectale	|	39491
2	|	Clostridium difficile	|	Clostridioides difficile	|	1496
1	|	Chloroherpeton thalassium	|	 	|	100716
1	|	Pelobacter propionicus	|	 	|	29543
1	|	Chlorobium limicola	|	 	|	1092
3	|	Lachnospiraceae bacterium 3157FAACT1	|	 	|	 
1	|	Clostridium saccharolyticum WM1	|	[Clostridium] saccharolyticum WM1	|	610130
3	|	Leptospira interrogans Lai	|	 	|	 
1	|	Niastella koreensis	|	 	|	354356
1	|	Shewanella loihica	|	 	|	359303
2	|	Leptospira interrogans Copenhageni	|	Leptospira interrogans serovar Copenhageni	|	44275
1	|	Paenibacillus mucilaginosus	|	 	|	61624
1	|	Sebaldella termitidis	|	 	|	826
1	|	Shewanella piezotolerans	|	 	|	404011
1	|	Ruminococcus lactaris	|	 	|	46228
