;[Bacteroides]_pectinophilus_ATCC_43243;-  Human, Homo sapiens Host-associated 
;[Cellvibrio]_gilvus_ATCC_13127;-   Terrestrial 
;[Clostridium]_clostridioforme;    
;[Clostridium]_innocuum;    
;[Clostridium]_josui_JCM_17888;    env_biome:bacteria
;[Clostridium]_leptum_DSM_753;  Human, Homo sapiens  
;[Clostridium]_litorale_DSM_5388;Positive   Aquatic 
;[Clostridium]_stercorarium_subsp._stercorarium_DSM_8532;Positive   Terrestrial 
;[Clostridium]_ultunense_Esp_strain_Clostridium_ultunense_strain_Esp;    
;[Eubacterium]_eligens_ATCC_27750;Negative   HostAssociated 
;[Eubacterium]_eligens;    
;[Eubacterium]_eligens;    
;[Scytonema_hofmanni]_UTEX_2349;Negative    
;Acaricomes_phytoseiuli_DSM_14247;Positive  Phytoseiulus persimilis HostAssociated 
;Acaryochloris_marina_MBIC11017;   Aquatic 
;Acaryochloris_marina_MBIC11017;   Aquatic 
;Acaryochloris_marina_MBIC11017;   Aquatic 
;Acaryochloris_marina_MBIC11017;   Aquatic 
;Acaryochloris_marina_MBIC11017;   Aquatic 
;Acaryochloris_marina_MBIC11017;   Aquatic 
;Acaryochloris_marina_MBIC11017;   Aquatic 
;Acaryochloris_marina_MBIC11017;  Algae Aquatic 
;Acaryochloris_marina_MBIC11017;   Aquatic 
;Acaryochloris_marina_MBIC11017;   Aquatic 
;Acetivibrio_cellulolyticus_CD2;-    
;Acetobacter_aceti;    
;Acetobacter_aceti_1023;Negative   Specialized 
;Acetobacter_aceti_ATCC_23746;Negative   Symbiotic 
;Acetobacter_malorum_strain_CECT_7742;    
;Acetobacter_malorum_strain_DmCS_005;  Fruit fly, Drosophila melanogaster  
;Acetobacter_malorum_strain_DsW_057;  Fruit fly, Drosophila melanogaster  env_biome:Agricultural land
;Acetobacter_malorum_strain_LMG_1552;  Malus sp.  
;Acetobacter_malorum_strain_LMG_1604;    
;Acetobacter_malorum_strain_LMG_1699;    
;Acetobacter_malorum_strain_LMG_1746;    
;Acetobacter_nitrogenifigens_DSM_23921;Negative    
;Acetobacter_okinawensis_JCM_25146;    
;Acetobacter_okinawensis_strain_DsW_060;  Fruit fly, Drosophila melanogaster  env_biome:Agricultural land
;Acetobacter_pasteurianus;    
;Acetobacter_pasteurianus_3P3;    
;Acetobacter_pasteurianus_IFO_3283-01;Negative   Multiple 
;Acetobacter_pasteurianus_IFO_3283-01;Negative   Multiple 
;Acetobacter_pasteurianus_IFO_3283-01;-   Multiple 
;Acetobacter_pasteurianus_IFO_3283-01;Negative   Multiple 
;Acetobacter_pasteurianus_IFO_3283-01;Negative   Multiple 
;Acetobacter_pasteurianus_IFO_3283-01;Negative   Multiple 
;Acetobacter_pasteurianus_IFO_3283-01;Negative   Multiple 
;Acetobacter_pasteurianus_IFO_3283-01-42C;Negative   Multiple 
;Acetobacter_pasteurianus_IFO_3283-01-42C;Negative   Multiple 
;Acetobacter_pasteurianus_IFO_3283-01-42C;Negative   Multiple 
;Acetobacter_pasteurianus_IFO_3283-01-42C;Negative   Multiple 
;Acetobacter_pasteurianus_IFO_3283-01-42C;Negative   Multiple 
;Acetobacter_pasteurianus_IFO_3283-01-42C;-   Multiple 
;Acetobacter_pasteurianus_IFO_3283-01-42C;Negative   Multiple 
;Acetobacteraceae_bacterium_AT-5844;    
;Acetobacterium_woodii_DSM_1030;    
;Acetonema_longum_DSM_6540;  Termite, Pterotermes occidentis  
;Acholeplasma_axanthum_ATCC_25176;    
;Acholeplasma_axanthum_strain_NCTC10138;    
;Acholeplasma_equifetale_ATCC_29724;  Horse, Equus caballus  
;Acholeplasma_hippikon_ATCC_29725;    
;Acholeplasma_hippikon_strain_NCTC10172;  Horse, Equus caballus  
;Acholeplasma_laidlawii_PG-8A;   Specialized 
;Acholeplasma_laidlawii_strain_DSM_23060;    
;Acholeplasma_laidlawii_strain_MDBK/IPV;    
;Acholeplasma_laidlawii_strain_NCTC10116;    
;Acholeplasma_laidlawii_strain_PG8B;  Plant  
;Acholeplasma_laidlawii_strain_PG8R;  Plant  
;Acholeplasma_laidlawii_strain_PG8R10;  plants  
;Acholeplasma_laidlawii_strain_PG8RMel;    
;Acholeplasma_laidlawii_strain_PG8RTet;    
;Acholeplasma_laidlawii_strain_PG8S;  Plant  
;Acholeplasma_modicum_ATCC_29102;    
;Achromobacter_arsenitoxydans_SY8;    
;Achromobacter_insuavis_strain_7393;  Human, Homo sapiens  
;Achromobacter_piechaudii_ATCC_43553;-  Human, Homo sapiens Host-associated 
;Achromobacter_piechaudii_HLE;Negative   Terrestrial 
;Achromobacter_sp._RTa;  Termite  
;Achromobacter_xylosoxidans_A8;Negative    
;Achromobacter_xylosoxidans_A8;Negative    
;Achromobacter_xylosoxidans_A8;    
;Achromobacter_xylosoxidans_A8;-    
;Achromobacter_xylosoxidans_NBRC_15126_=_ATCC_27061;    
;Achromobacter_xylosoxidans_NBRC_15126_=_ATCC_27061;Negative    
;Acidaminococcus_fermentans_DSM_20731;-   Multiple 
;Acidaminococcus_fermentans_strain_RUG045;    
;Acidaminococcus_fermentans_strain_UBA1700;    
;Acidaminococcus_fermentans_strain_UBA7757;    
;Acidaminococcus_fermentans_strain_W0P9.038;  Pig, Sus scrofa  
;Acidaminococcus_fermentans_strain_WCC6;    
;Acidaminococcus_fermentans_strain_pGA-4;    
;Acidaminococcus_intestini_CAG:325;  Human, Homo sapiens  
;Acidaminococcus_intestini_DSM_21505;Negative  Human, Homo sapiens Host Associated 
;Acidaminococcus_intestini_RyC-MR95;    
;Acidimicrobium_ferrooxidans_DSM_10331;+   Specialized 
;Acidiphilium_angustum_ATCC_35903;    
;Acidithiobacillus_ferrooxidans_ATCC_23270;-   Multiple 
;Acidithiobacillus_ferrooxidans_ATCC_53993;-   Specialized 
;Acidithiobacillus_thiooxidans_A01;Negative   Specialized 
;Acidithiobacillus_thiooxidans_ATCC_19377;    
;Acidithiobacillus_thiooxidans_strain_A02;    
;Acidithiobacillus_thiooxidans_strain_BY-02;    
;Acidithiobacillus_thiooxidans_strain_CLST;    
;Acidithiobacillus_thiooxidans_strain_DMC;    
;Acidithiobacillus_thiooxidans_strain_DXS-W;    
;Acidithiobacillus_thiooxidans_strain_GD1-3;    
;Acidithiobacillus_thiooxidans_strain_JYC-17;    
;Acidithiobacillus_thiooxidans_strain_Licanantay;Negative   Terrestrial 
;Acidithiobacillus_thiooxidans_strain_ZBY;    
;Acidobacteria_bacterium_KBS_146;    
;Acidobacteriaceae_bacterium_KBS_83;    
;Acidobacteriaceae_bacterium_KBS_89;    
;Acidobacteriaceae_bacterium_KBS_96;    
;Acidobacteriaceae_bacterium_TAA166;   Fresh water; Aquatic 
;Acidobacterium_capsulatum_ATCC_51196;-   Multiple 
;Acidobacterium_sp._PMMR2;    
;Acidothermus_cellulolyticus_11B;+   Aquatic 
;Acidovorax_sp._KKS102;Negative    
;Acidovorax_sp._MR-S7;    
;Acinetobacter_baumannii;    
;Acinetobacter_baumannii;    
;Acinetobacter_baumannii;    
;Acinetobacter_baumannii_1;    
;Acinetobacter_baumannii_1;    
;Acinetobacter_baumannii_1000160;  Human, Homo sapiens  
;Acinetobacter_baumannii_1007214;  Human, Homo sapiens  
;Acinetobacter_baumannii_1022959;  Human, Homo sapiens  
;Acinetobacter_baumannii_1031433;  Human, Homo sapiens  
;Acinetobacter_baumannii_1032241;  Human, Homo sapiens  
;Acinetobacter_baumannii_1032359;  Human, Homo sapiens  
;Acinetobacter_baumannii_1035119;  Human, Homo sapiens  
;Acinetobacter_baumannii_1036938;  Human, Homo sapiens  
;Acinetobacter_baumannii_1039621;  Human, Homo sapiens  
;Acinetobacter_baumannii_1040094;  Human, Homo sapiens  
;Acinetobacter_baumannii_1042969-1197;  Human, Homo sapiens  
;Acinetobacter_baumannii_1042969-1265;  Human, Homo sapiens  
;Acinetobacter_baumannii_1043794;  Human, Homo sapiens  
;Acinetobacter_baumannii_1043903;  Human, Homo sapiens  
;Acinetobacter_baumannii_1045092;  Human, Homo sapiens  
;Acinetobacter_baumannii_1046051;  Human, Homo sapiens  
;Acinetobacter_baumannii_1046674;  Human, Homo sapiens  
;Acinetobacter_baumannii_1051176;  Human, Homo sapiens  
;Acinetobacter_baumannii_1051830;  Human, Homo sapiens  
;Acinetobacter_baumannii_10519;  Human, Homo sapiens  
;Acinetobacter_baumannii_1058283;  Human, Homo sapiens  
;Acinetobacter_baumannii_1062314;  Human, Homo sapiens  
;Acinetobacter_baumannii_1064293_45;  Human, Homo sapiens  
;Acinetobacter_baumannii_1064293_46;  Human, Homo sapiens  
;Acinetobacter_baumannii_1075025;  Human, Homo sapiens  
;Acinetobacter_baumannii_107m;    
;Acinetobacter_baumannii_1095464;  Human, Homo sapiens  
;Acinetobacter_baumannii_1096934;  Human, Homo sapiens  
;Acinetobacter_baumannii_1106579;  Human, Homo sapiens  
;Acinetobacter_baumannii_110912;  Human, Homo sapiens  
;Acinetobacter_baumannii_11126;  Human, Homo sapiens  
;Acinetobacter_baumannii_1117819;  Human, Homo sapiens  
;Acinetobacter_baumannii_1121032;  Human, Homo sapiens  
;Acinetobacter_baumannii_113;  Human, Homo sapiens  
;Acinetobacter_baumannii_1130196;  Human, Homo sapiens  
;Acinetobacter_baumannii_1146103;  Human, Homo sapiens  
;Acinetobacter_baumannii_1159076;  Human, Homo sapiens  
;Acinetobacter_baumannii_1170863;  Human, Homo sapiens  
;Acinetobacter_baumannii_1178044;  Human, Homo sapiens  
;Acinetobacter_baumannii_1179249;  Human, Homo sapiens  
;Acinetobacter_baumannii_118362;  Human, Homo sapiens  
;Acinetobacter_baumannii_1188188;  Human, Homo sapiens  
;Acinetobacter_baumannii_1195185_11;  Human, Homo sapiens  
;Acinetobacter_baumannii_1195185_80;  Human, Homo sapiens  
;Acinetobacter_baumannii_1202252;  Human, Homo sapiens  
;Acinetobacter_baumannii_1207552;  Human, Homo sapiens  
;Acinetobacter_baumannii_121738;  Human, Homo sapiens  
;Acinetobacter_baumannii_1232509;  Human, Homo sapiens  
;Acinetobacter_baumannii_1237202;  Human, Homo sapiens  
;Acinetobacter_baumannii_1237893;  Human, Homo sapiens  
;Acinetobacter_baumannii_1239920;  Human, Homo sapiens  
;Acinetobacter_baumannii_1245249;  Human, Homo sapiens  
;Acinetobacter_baumannii_1245593;  Human, Homo sapiens  
;Acinetobacter_baumannii_1247182;  Human, Homo sapiens  
;Acinetobacter_baumannii_1262761-105;  Human, Homo sapiens  
;Acinetobacter_baumannii_1262761-97;  Human, Homo sapiens  
;Acinetobacter_baumannii_1264765;  Human, Homo sapiens  
;Acinetobacter_baumannii_1264936;  Human, Homo sapiens  
;Acinetobacter_baumannii_1266220;  Human, Homo sapiens  
;Acinetobacter_baumannii_1267820;  Human, Homo sapiens  
;Acinetobacter_baumannii_1271213;  Human, Homo sapiens  
;Acinetobacter_baumannii_1271651;  Human, Homo sapiens  
;Acinetobacter_baumannii_1276470-132;  Human, Homo sapiens  
;Acinetobacter_baumannii_1276470-86;  Human, Homo sapiens  
;Acinetobacter_baumannii_1277411;  Human, Homo sapiens  
;Acinetobacter_baumannii_1281984;  Human, Homo sapiens  
;Acinetobacter_baumannii_1284800;  Human, Homo sapiens  
;Acinetobacter_baumannii_1287985;  Human, Homo sapiens  
;Acinetobacter_baumannii_1288284;  Human, Homo sapiens  
;Acinetobacter_baumannii_1289546;  Human, Homo sapiens  
;Acinetobacter_baumannii_1289694;  Human, Homo sapiens  
;Acinetobacter_baumannii_1291820;  Human, Homo sapiens  
;Acinetobacter_baumannii_1293320;  Human, Homo sapiens  
;Acinetobacter_baumannii_1294217;  Human, Homo sapiens  
;Acinetobacter_baumannii_1294222;  Human, Homo sapiens  
;Acinetobacter_baumannii_1294243;  Human, Homo sapiens  
;Acinetobacter_baumannii_1294596;  Human, Homo sapiens  
;Acinetobacter_baumannii_1295259;  Human, Homo sapiens  
;Acinetobacter_baumannii_1295549;  Human, Homo sapiens  
;Acinetobacter_baumannii_1295743;  Human, Homo sapiens  
;Acinetobacter_baumannii_1296252;  Human, Homo sapiens  
;Acinetobacter_baumannii_1297;  Human, Homo sapiens  
;Acinetobacter_baumannii_1297549;  Human, Homo sapiens  
;Acinetobacter_baumannii_135867;  Human, Homo sapiens  
;Acinetobacter_baumannii_136706;  Human, Homo sapiens  
;Acinetobacter_baumannii_1391434;  Human, Homo sapiens  
;Acinetobacter_baumannii_1392509;  Human, Homo sapiens  
;Acinetobacter_baumannii_1396970;  Human, Homo sapiens  
;Acinetobacter_baumannii_1397084;  Human, Homo sapiens  
;Acinetobacter_baumannii_1397513;  Human, Homo sapiens  
;Acinetobacter_baumannii_1406182;  Human, Homo sapiens  
;Acinetobacter_baumannii_1406589;  Human, Homo sapiens  
;Acinetobacter_baumannii_1406750;  Human, Homo sapiens  
;Acinetobacter_baumannii_1412924;  Human, Homo sapiens  
;Acinetobacter_baumannii_1413735;  Human, Homo sapiens  
;Acinetobacter_baumannii_1417041;  Human, Homo sapiens  
;Acinetobacter_baumannii_1419130;  Human, Homo sapiens  
;Acinetobacter_baumannii_14216;  Human, Homo sapiens  
;Acinetobacter_baumannii_1424608;  Human, Homo sapiens  
;Acinetobacter_baumannii_1426993;  Human, Homo sapiens  
;Acinetobacter_baumannii_1428368;  Human, Homo sapiens  
;Acinetobacter_baumannii_1429530;  Human, Homo sapiens  
;Acinetobacter_baumannii_1437282;  Human, Homo sapiens  
;Acinetobacter_baumannii_1440422;  Human, Homo sapiens  
;Acinetobacter_baumannii_1440750;  Human, Homo sapiens  
;Acinetobacter_baumannii_144107;  Human, Homo sapiens  
;Acinetobacter_baumannii_1451147;  Human, Homo sapiens  
;Acinetobacter_baumannii_145660;  Human, Homo sapiens  
;Acinetobacter_baumannii_1457504;  Human, Homo sapiens  
;Acinetobacter_baumannii_1461402;  Human, Homo sapiens  
;Acinetobacter_baumannii_1461963;  Human, Homo sapiens  
;Acinetobacter_baumannii_1462234;  Human, Homo sapiens  
;Acinetobacter_baumannii_146457;  Human, Homo sapiens  
;Acinetobacter_baumannii_1465485;  Human, Homo sapiens  
;Acinetobacter_baumannii_1471012;  Human, Homo sapiens  
;Acinetobacter_baumannii_1475718;  Human, Homo sapiens  
;Acinetobacter_baumannii_1475764;  Human, Homo sapiens  
;Acinetobacter_baumannii_1482820;  Human, Homo sapiens  
;Acinetobacter_baumannii_1488685;  Human, Homo sapiens  
;Acinetobacter_baumannii_1494580;  Human, Homo sapiens  
;Acinetobacter_baumannii_1499986;  Human, Homo sapiens  
;Acinetobacter_baumannii_1505311;  Human, Homo sapiens  
;Acinetobacter_baumannii_1525283;  Human, Homo sapiens  
;Acinetobacter_baumannii_1526966;  Human, Homo sapiens  
;Acinetobacter_baumannii_1533268;  Human, Homo sapiens  
;Acinetobacter_baumannii_1539026;  Human, Homo sapiens  
;Acinetobacter_baumannii_1542444;  Human, Homo sapiens  
;Acinetobacter_baumannii_1546444;  Human, Homo sapiens  
;Acinetobacter_baumannii_1552389;  Human, Homo sapiens  
;Acinetobacter_baumannii_1552818;  Human, Homo sapiens  
;Acinetobacter_baumannii_1552865;  Human, Homo sapiens  
;Acinetobacter_baumannii_1564232;  Human, Homo sapiens  
;Acinetobacter_baumannii_1566109;  Human, Homo sapiens  
;Acinetobacter_baumannii_1571545;  Human, Homo sapiens  
;Acinetobacter_baumannii_1575710;  Human, Homo sapiens  
;Acinetobacter_baumannii_1578804;  Human, Homo sapiens  
;Acinetobacter_baumannii_15827;  Human, Homo sapiens  
;Acinetobacter_baumannii_1592897;  Human, Homo sapiens  
;Acinetobacter_baumannii_1593273;  Human, Homo sapiens  
;Acinetobacter_baumannii_1598530;  Human, Homo sapiens  
;Acinetobacter_baumannii_1605;    
;Acinetobacter_baumannii_16553_1;  Human, Homo sapiens  
;Acinetobacter_baumannii_16553_10;  Human, Homo sapiens  
;Acinetobacter_baumannii_16553_2;  Human, Homo sapiens  
;Acinetobacter_baumannii_16553_3;  Human, Homo sapiens  
;Acinetobacter_baumannii_16553_4;  Human, Homo sapiens  
;Acinetobacter_baumannii_16553_6;  Human, Homo sapiens  
;Acinetobacter_baumannii_16553_8;  Human, Homo sapiens  
;Acinetobacter_baumannii_16553_9;  Human, Homo sapiens  
;Acinetobacter_baumannii_1656-2;-   Multiple 
;Acinetobacter_baumannii_1656-2;Negative   Multiple 
;Acinetobacter_baumannii_1656-2;Negative   Multiple 
;Acinetobacter_baumannii_17534;  Human, Homo sapiens  
;Acinetobacter_baumannii_18689;  Human, Homo sapiens  
;Acinetobacter_baumannii_1999BJAB11;  Human, Homo sapiens  
;Acinetobacter_baumannii_2003BJAB12;  Human, Homo sapiens  
;Acinetobacter_baumannii_2004BJAB10;  Human, Homo sapiens  
;Acinetobacter_baumannii_2004BJAB13;  Human, Homo sapiens  
;Acinetobacter_baumannii_2004BJAB14;  Human, Homo sapiens  
;Acinetobacter_baumannii_2004ZJAB6;  Human, Homo sapiens  
;Acinetobacter_baumannii_2005JSAB1;  Human, Homo sapiens  
;Acinetobacter_baumannii_2011BJAB2;  Human, Homo sapiens  
;Acinetobacter_baumannii_2011BJAB4;  Human, Homo sapiens  
;Acinetobacter_baumannii_2011BJAB5;  Human, Homo sapiens  
;Acinetobacter_baumannii_2011BJAB6;  Human, Homo sapiens  
;Acinetobacter_baumannii_2011BJAB7;  Human, Homo sapiens  
;Acinetobacter_baumannii_2011BJAB8;  Human, Homo sapiens  
;Acinetobacter_baumannii_2011BJAB9;  Human, Homo sapiens  
;Acinetobacter_baumannii_2011GDAB1;  Human, Homo sapiens  
;Acinetobacter_baumannii_2011GDAB2;  Human, Homo sapiens  
;Acinetobacter_baumannii_2011GDAB3;  Human, Homo sapiens  
;Acinetobacter_baumannii_2011GDAB4;  Human, Homo sapiens  
;Acinetobacter_baumannii_2011HNAB1;  Human, Homo sapiens  
;Acinetobacter_baumannii_2011LNAB1;  Human, Homo sapiens  
;Acinetobacter_baumannii_2011LNAB3;  Human, Homo sapiens  
;Acinetobacter_baumannii_2011SDAB3;  Human, Homo sapiens  
;Acinetobacter_baumannii_2011SHAB1;  Human, Homo sapiens  
;Acinetobacter_baumannii_2011TJAB1;  Human, Homo sapiens  
;Acinetobacter_baumannii_2011ZJAB1;  Human, Homo sapiens  
;Acinetobacter_baumannii_2011ZJAB2;  Human, Homo sapiens  
;Acinetobacter_baumannii_2011ZJAB3;  Human, Homo sapiens  
;Acinetobacter_baumannii_2011ZJAB4;  Human, Homo sapiens  
;Acinetobacter_baumannii_21072;  Human, Homo sapiens  
;Acinetobacter_baumannii_213697;  Human, Homo sapiens  
;Acinetobacter_baumannii_214216;  Human, Homo sapiens  
;Acinetobacter_baumannii_216872;  Human, Homo sapiens  
;Acinetobacter_baumannii_21871;  Human, Homo sapiens  
;Acinetobacter_baumannii_225588;  Human, Homo sapiens  
;Acinetobacter_baumannii_23037;  Human, Homo sapiens  
;Acinetobacter_baumannii_230853;  Human, Homo sapiens  
;Acinetobacter_baumannii_232184;  Human, Homo sapiens  
;Acinetobacter_baumannii_233846;  Human, Homo sapiens  
;Acinetobacter_baumannii_23671;  Human, Homo sapiens  
;Acinetobacter_baumannii_24812_10;  Human, Homo sapiens  
;Acinetobacter_baumannii_24812_2;  Human, Homo sapiens  
;Acinetobacter_baumannii_24812_4;  Human, Homo sapiens  
;Acinetobacter_baumannii_24812_6;  Human, Homo sapiens  
;Acinetobacter_baumannii_24812_7;  Human, Homo sapiens  
;Acinetobacter_baumannii_24812_8;  Human, Homo sapiens  
;Acinetobacter_baumannii_24845_1;  Human, Homo sapiens  
;Acinetobacter_baumannii_24845_10;  Human, Homo sapiens  
;Acinetobacter_baumannii_24845_3;  Human, Homo sapiens  
;Acinetobacter_baumannii_24845_4;  Human, Homo sapiens  
;Acinetobacter_baumannii_24845_5;  Human, Homo sapiens  
;Acinetobacter_baumannii_24845_6;  Human, Homo sapiens  
;Acinetobacter_baumannii_24845_7;  Human, Homo sapiens  
;Acinetobacter_baumannii_24845_8;  Human, Homo sapiens  
;Acinetobacter_baumannii_24845_9;  Human, Homo sapiens  
;Acinetobacter_baumannii_24860_1;  Human, Homo sapiens  
;Acinetobacter_baumannii_24860_10;  Human, Homo sapiens  
;Acinetobacter_baumannii_24860_2;  Human, Homo sapiens  
;Acinetobacter_baumannii_24860_3;  Human, Homo sapiens  
;Acinetobacter_baumannii_24860_4;  Human, Homo sapiens  
;Acinetobacter_baumannii_24860_5;  Human, Homo sapiens  
;Acinetobacter_baumannii_24860_6;  Human, Homo sapiens  
;Acinetobacter_baumannii_24860_7;  Human, Homo sapiens  
;Acinetobacter_baumannii_24860_8;  Human, Homo sapiens  
;Acinetobacter_baumannii_24860_9;  Human, Homo sapiens  
;Acinetobacter_baumannii_24975_1;  Human, Homo sapiens  
;Acinetobacter_baumannii_24975_10;  Human, Homo sapiens  
;Acinetobacter_baumannii_24975_4;  Human, Homo sapiens  
;Acinetobacter_baumannii_24975_5;  Human, Homo sapiens  
;Acinetobacter_baumannii_24975_7;  Human, Homo sapiens  
;Acinetobacter_baumannii_24975_9;  Human, Homo sapiens  
;Acinetobacter_baumannii_25253_1;  Human, Homo sapiens  
;Acinetobacter_baumannii_25253_10;  Human, Homo sapiens  
;Acinetobacter_baumannii_25253_3;  Human, Homo sapiens  
;Acinetobacter_baumannii_25253_4;  Human, Homo sapiens  
;Acinetobacter_baumannii_25253_5;  Human, Homo sapiens  
;Acinetobacter_baumannii_25253_6;  Human, Homo sapiens  
;Acinetobacter_baumannii_25253_7;  Human, Homo sapiens  
;Acinetobacter_baumannii_25253_8;  Human, Homo sapiens  
;Acinetobacter_baumannii_25307_1;  Human, Homo sapiens  
;Acinetobacter_baumannii_25307_2;  Human, Homo sapiens  
;Acinetobacter_baumannii_25307_3;  Human, Homo sapiens  
;Acinetobacter_baumannii_25307_4;  Human, Homo sapiens  
;Acinetobacter_baumannii_25307_5;  Human, Homo sapiens  
;Acinetobacter_baumannii_25307_6;  Human, Homo sapiens  
;Acinetobacter_baumannii_25307_8;  Human, Homo sapiens  
;Acinetobacter_baumannii_25442_1;  Human, Homo sapiens  
;Acinetobacter_baumannii_25442_5;  Human, Homo sapiens  
;Acinetobacter_baumannii_25442_7;  Human, Homo sapiens  
;Acinetobacter_baumannii_25442_9;  Human, Homo sapiens  
;Acinetobacter_baumannii_25493_1;  Human, Homo sapiens  
;Acinetobacter_baumannii_25493_10;  Human, Homo sapiens  
;Acinetobacter_baumannii_25493_2;  Human, Homo sapiens  
;Acinetobacter_baumannii_25493_3;  Human, Homo sapiens  
;Acinetobacter_baumannii_25493_4;  Human, Homo sapiens  
;Acinetobacter_baumannii_25493_5;  Human, Homo sapiens  
;Acinetobacter_baumannii_25493_6;  Human, Homo sapiens  
;Acinetobacter_baumannii_25493_8;  Human, Homo sapiens  
;Acinetobacter_baumannii_25493_9;  Human, Homo sapiens  
;Acinetobacter_baumannii_25561_1;  Human, Homo sapiens  
;Acinetobacter_baumannii_25561_10;  Human, Homo sapiens  
;Acinetobacter_baumannii_25561_2;  Human, Homo sapiens  
;Acinetobacter_baumannii_25561_7;  Human, Homo sapiens  
;Acinetobacter_baumannii_25569_1;  Human, Homo sapiens  
;Acinetobacter_baumannii_25569_10;  Human, Homo sapiens  
;Acinetobacter_baumannii_25569_2;  Human, Homo sapiens  
;Acinetobacter_baumannii_25569_3;  Human, Homo sapiens  
;Acinetobacter_baumannii_25569_4;  Human, Homo sapiens  
;Acinetobacter_baumannii_25569_5;  Human, Homo sapiens  
;Acinetobacter_baumannii_25569_6;  Human, Homo sapiens  
;Acinetobacter_baumannii_25569_7;  Human, Homo sapiens  
;Acinetobacter_baumannii_25569_8;  Human, Homo sapiens  
;Acinetobacter_baumannii_25569_9;  Human, Homo sapiens  
;Acinetobacter_baumannii_25681_2;  Human, Homo sapiens  
;Acinetobacter_baumannii_25681_3;  Human, Homo sapiens  
;Acinetobacter_baumannii_25681_5;  Human, Homo sapiens  
;Acinetobacter_baumannii_25681_6;  Human, Homo sapiens  
;Acinetobacter_baumannii_25681_8;  Human, Homo sapiens  
;Acinetobacter_baumannii_25681_9;  Human, Homo sapiens  
;Acinetobacter_baumannii_25691_1;  Human, Homo sapiens  
;Acinetobacter_baumannii_25691_10;  Human, Homo sapiens  
;Acinetobacter_baumannii_25691_2;  Human, Homo sapiens  
;Acinetobacter_baumannii_25691_5;  Human, Homo sapiens  
;Acinetobacter_baumannii_25691_6;  Human, Homo sapiens  
;Acinetobacter_baumannii_25691_7;  Human, Homo sapiens  
;Acinetobacter_baumannii_25691_8;  Human, Homo sapiens  
;Acinetobacter_baumannii_25691_9;  Human, Homo sapiens  
;Acinetobacter_baumannii_25750_1;  Human, Homo sapiens  
;Acinetobacter_baumannii_25750_6;  Human, Homo sapiens  
;Acinetobacter_baumannii_25750_7;  Human, Homo sapiens  
;Acinetobacter_baumannii_25750_8;  Human, Homo sapiens  
;Acinetobacter_baumannii_25766_1;  Human, Homo sapiens  
;Acinetobacter_baumannii_25766_10;  Human, Homo sapiens  
;Acinetobacter_baumannii_25766_2;  Human, Homo sapiens  
;Acinetobacter_baumannii_25766_3;  Human, Homo sapiens  
;Acinetobacter_baumannii_25766_4;  Human, Homo sapiens  
;Acinetobacter_baumannii_25766_5;  Human, Homo sapiens  
;Acinetobacter_baumannii_25766_6;  Human, Homo sapiens  
;Acinetobacter_baumannii_25766_7;  Human, Homo sapiens  
;Acinetobacter_baumannii_25766_9;  Human, Homo sapiens  
;Acinetobacter_baumannii_25878_1;  Human, Homo sapiens  
;Acinetobacter_baumannii_25878_2;  Human, Homo sapiens  
;Acinetobacter_baumannii_25878_3;  Human, Homo sapiens  
;Acinetobacter_baumannii_259052;  Human, Homo sapiens  
;Acinetobacter_baumannii_25935_1;  Human, Homo sapiens  
;Acinetobacter_baumannii_25935_10;  Human, Homo sapiens  
;Acinetobacter_baumannii_25935_2;  Human, Homo sapiens  
;Acinetobacter_baumannii_25935_4;  Human, Homo sapiens  
;Acinetobacter_baumannii_25935_5;  Human, Homo sapiens  
;Acinetobacter_baumannii_25935_6;  Human, Homo sapiens  
;Acinetobacter_baumannii_25935_7;  Human, Homo sapiens  
;Acinetobacter_baumannii_25935_8;  Human, Homo sapiens  
;Acinetobacter_baumannii_25935_9;  Human, Homo sapiens  
;Acinetobacter_baumannii_25977_1;  Human, Homo sapiens  
;Acinetobacter_baumannii_25977_10;  Human, Homo sapiens  
;Acinetobacter_baumannii_25977_2;  Human, Homo sapiens  
;Acinetobacter_baumannii_25977_3;  Human, Homo sapiens  
;Acinetobacter_baumannii_25977_4;  Human, Homo sapiens  
;Acinetobacter_baumannii_25977_6;  Human, Homo sapiens  
;Acinetobacter_baumannii_25977_7;  Human, Homo sapiens  
;Acinetobacter_baumannii_25977_8;  Human, Homo sapiens  
;Acinetobacter_baumannii_25977_9;  Human, Homo sapiens  
;Acinetobacter_baumannii_26016_1;  Human, Homo sapiens  
;Acinetobacter_baumannii_26016_10;  Human, Homo sapiens  
;Acinetobacter_baumannii_26016_2;  Human, Homo sapiens  
