u1 : 709797.CSIRO 3456 (BradyrhizobiaceaebacteriumSG-6C) 
u2 : 1197906.CAJQ02000009 gene3616 (Afipiabirgiae34632) 
u3 : 1297863.APJF01000004 gene453 (Afipiasp.OHSU_I-C4) 
u4 : 883078.HMPREF9695 02308 (AfipiabroomeaeATCC49717) 
u8 : 316058.RPB 2340 (RhodopseudomonaspalustrisHaA2) 
u9 : 316057.RPD 3124 (RhodopseudomonaspalustrisBisB5) 
u11 : 316056.RPC 3398 (RhodopseudomonaspalustrisBisB18) 
u12 : 316055.RPE 3542 (RhodopseudomonaspalustrisBisA53) 
u15 : 1380355.JNIJ01000081 gene4926 (Bradyrhizobiumsp.URHD0069) 
u16 : 113395.AXAI01000023 gene7161 (Bradyrhizobiumsp.Tv2a-2) 
u17 : 1040989.AWZU01000014 gene4498 (Bradyrhizobiumsp.ARR65) 
u20 : 189753.AXAS01000002 gene5083 (Bradyrhizobiumsp.Ec3.3) 
u21 : 443598.AUFA01000021 gene3083 (Bradyrhizobiumsp.Cp5.3) 
u22 : 1126627.BAWE01000005 gene5119 (Bradyrhizobiumsp.DOA9) 
u23 : 1037409.BJ6T 44270 (BradyrhizobiumjaponicumUSDA6) 
u24 : 1038866.KB902813 gene2159 (Bradyrhizobiumsp.WSM2793) 
u25 : 1038862.KB893873 gene7551 (BradyrhizobiumjaponicumUSDA124) 
u28 : 1304877.KI519399 gene5877 (Bradyrhizobiumjaponicum22) 
u30 : 318996.AXAZ01000026 gene6987 (Bradyrhizobiumsp.WSM1743) 
u32 : 335659.S23 29200 (Bradyrhizobiumsp.S23321) 
u33 : 224911.27353635 (BradyrhizobiumdiazoefficiensUSDA110) 
u36 : 936455.KI421499 gene1927 (Bradyrhizobiumgenosp.SA-4str.CB756) 
u38 : 1304878.AUGD01000020 gene4337 (Bradyrhizobiumjaponicumin8p8) 
u45 : 1230476.C207 01573 (Bradyrhizobiumsp.DFCI-1) 
u46 : 1297865.APJD01000002 gene4132 (Bradyrhizobiumsp.OHSU_III) 
u48 : 172088.AUGA01000021 gene5206 (Bradyrhizobiumsp.th.b2) 
u49 : 398525.KB900701 gene5599 (BradyrhizobiumelkaniiUSDA76) 
u52 : 196490.AUEZ01000069 gene3003 (Bradyrhizobiumsp.Ai1a-2) 
u53 : 1038860.AXAP01000085 gene330 (BradyrhizobiumelkaniiWSM2783) 
u55 : 1038859.AXAU01000011 gene2404 (BradyrhizobiumelkaniiWSM1741) 
u56 : 1298867.AUES01000002 gene1519 (Bradyrhizobiumsp.URHA0002) 
u61 : 114615.BRADO4627 (Bradyrhizobiumsp.ORS278) 
u62 : 288000.BBta 5028 (Bradyrhizobiumsp.BTAi1) 
u63 : 1245469.S58 30420 (BradyrhizobiumoligotrophicumS58) 
u68 : 1320556.AVBP01000010 gene3125 (Mesorhizobiumsp.NBIMC_P2-C3) 
u70 : 573370.DMR 04670 (DesulfovibriomagneticusRS-1) 
u71 : 1121448.DGI 2558 (DesulfovibriogigasDSM1382) 
u73 : 1121459.AQXE01000015 gene332 (DesulfovibriooxyclinaeDSM11498) 
u76 : 388051.AUFE01000061 gene6174 (Cupriavidussp.amp6) 
u77 : 977880.RALTA B1278 (CupriavidustaiwanensisLMG19424) 
u79 : 1366050.N234 28920 (RalstoniapickettiiDTP0602) 
u81 : 382464.ABSI01000013 gene1843 (VerrucomicrobiaebacteriumDG1235) 
u84 : 466088.CL42 05115 (Acinetobactersp.Ver3) 
u85 : 40215.BBOS01000154 gene27 (Acinetobacterjunii) 
u87 : 1208583.COMX 04305 (Commensalibactersp.MX01) 
u88 : 1120925.F941 02259 (AcinetobacterbouvetiiDSM14964) 
u90 : 202954.BBNK01000001 gene744 (Acinetobactertandoii) 
u91 : 202952.BBLI01000003 gene340 (Acinetobactergerneri) 
u92 : 1217715.F994 00492 (AcinetobacterbohemicusANC3994) 
u93 : 1029823.AFIE01000089 gene2498 (Acinetobactersp.P8-3-8) 
u94 : 1217656.F964 00014 (AcinetobacterguillouiaeNIPH991) 
u95 : 106648.BBLJ01000038 gene4123 (Acinetobacterbereziniae) 
u101 : 470.IX87 02560 (Acinetobacterbaumannii) 
u102 : 436717.AOLE 11070 (AcinetobacteroleivoransDR1) 
u104 : 575589.HMPREF0018 00443 (AcinetobacterradioresistensSH164) 
u105 : 470.IX87 21860 (Acinetobacterbaumannii) 
u106 : 470.IX87 16825 (Acinetobacterbaumannii) 
u109 : 421052.F945 03287 (AcinetobacterrudisCIP110305) 
u111 : 575588.ACPN01000162 gene1441 (AcinetobacterlwoffiiSH145) 
u112 : 981327.F925 00701 (AcinetobacterlwoffiiNCTC5866) 
u116 : 1191460.F959 00956 (AcinetobactervenetianusRAG-1) 
u117 : 1217712.F971 01280 (Acinetobactersp.NIPH758) 
u118 : 981223.AIED01000094 gene3070 (Acinetobactersp.NCTC7422) 
u119 : 1144672.F966 01349 (Acinetobactersp.CIP56.2) 
u120 : 1217658.F987 03373 (AcinetobactergyllenbergiiNIPH230) 
u121 : 1217713.F993 03629 (Acinetobactersp.NIPH809) 
u125 : 1217708.F887 03505 (Acinetobactersp.NIPH2100) 
u126 : 1217703.F904 01037 (Acinetobactersp.ANC4105) 
u130 : 40373.F991 03271 (Acinetobactersp.CIP-A165) 
u132 : 1331660.L313 0042 (AcinetobacterhaemolyticusMTCC9819) 
u133 : 525244.HMPREF0023 2248 (Acinetobactersp.ATCC27244) 
u141 : 1247024.JRLH01000010 gene1127 (Arsenophonusendosymbiontstr.HangzhouofNilaparvatalugens) 
u143 : 1408442.JADE01000005 gene1121 (HelicobacterpametensisATCC51478) 
u144 : 762983.HMPREF9444 00979 (SuccinatimonashippeiYIT12066) 
u146 : 306263.Cla 1383 (CampylobacterlariRM2100) 
u147 : 192222.Cj0299 (Campylobacterjejunisubsp.jejuniNCTC11168) 
u149 : 1236542.BALM01000008 gene2954 (ShewanellamarinaJCM15074) 
u150 : 1319815.HMPREF0202 00501 (CetobacteriumsomeraeATCCBAA-474) 
u151 : 759914.BP951000 1338 (Brachyspirapilosicoli95/1000) 
u157 : 595537.Varpa 1477 (VariovoraxparadoxusEPS) 
u158 : 1396418.BATQ01000075 gene666 (Verrucomicrobiumsp.BvORR034) 
u159 : 1403819.BATR01000154 gene5154 (Verrucomicrobiumsp.BvORR106) 
u162 : 402626.Rpic 3962 (Ralstoniapickettii12J) 
u163 : 1235457.C404 02380 (Ralstoniasp.AU12-08) 
u165 : 402881.Plav 3016 (ParvibaculumlavamentivoransDS-1) 
u168 : 221360.RS9917 00472 (Synechococcussp.RS9917) 
u169 : 232348.ADXL01000057 gene2358 (Synechococcussp.CB0101) 
u170 : 232348.ADXL01000080 gene954 (Synechococcussp.CB0101) 
u173 : 883126.HMPREF9710 03982 (MassiliatimonaeCCUG45783) 
u174 : 287.DR97 2892 (Pseudomonasaeruginosa) 
u175 : 1395571.TMS3 0103025 (PseudomonastaeanensisMS-3) 
u177 : 1121935.AQXX01000124 gene89 (HahellaganghwensisDSM17046) 
u178 : 265072.Mfla 2477 (MethylobacillusflagellatusKT) 
u180 : 243233.MCA2220 (Methylococcuscapsulatusstr.Bath) 
u181 : 1415778.JQMM01000001 gene431 (PorticoccushydrocarbonoclasticusMCTG13d) 
u188 : 246200.SPO2592 (RuegeriapomeroyiDSS-3) 
u189 : 561175.KB894093 gene2823 (ActinomaduraflavalbaDSM45200) 
u190 : 1120936.KB907213 gene4793 (ActinomaduraatramentariaDSM43919) 
u191 : 58123.JOFJ01000030 gene1180 (Spirillosporaalbida) 
u192 : 471852.Tcur 2040 (ThermomonosporacurvataDSM43183) 
u194 : 479432.Sros 8961 (StreptosporangiumroseumDSM43021) 
u200 : 446468.Ndas 0427 (Nocardiopsisdassonvilleisubsp.dassonvilleiDSM43111) 
u201 : 1137268.AZXF01000014 gene123 (Nocardiopsissp.CNT312) 
u203 : 1205910.B005 3299 (NocardiopsisalbaATCCBAA-2165) 
u204 : 1245475.ANAE01000184 gene1057 (NocardiopsisprasinaDSM43845) 
u205 : 1237500.ANBA01000017 gene1614 (NocardiopsisganjiahuensisDSM45031) 
u206 : 1246448.ANAZ01000054 gene1225 (NocardiopsisvalliformisDSM45023) 
u211 : 1246445.ANAY01000031 gene3559 (NocardiopsiskunsanensisDSM44524) 
u212 : 1246474.ANBE01000045 gene923 (NocardiopsisxinjiangensisYIM90004) 
u216 : 1396141.BATP01000005 gene6026 (Haloferulasp.BvORR071) 
u217 : 326298.Suden 0951 (SulfurimonasdenitrificansDSM1251) 
u221 : 1123503.KB908058 gene1032 (WoodsholeamaritimaDSM17123) 
u222 : 1123059.KB823013 gene561 (RobiginitomaculumantarcticumDSM21748) 
u223 : 551275.KB899545 gene2748 (HirschiamaritimaDSM19733) 
u224 : 1280944.HY17 03870 (Hyphomonassp.CY54-11-8) 
u225 : 1280949.HAD 16042 (HyphomonasadhaerensMHS-3) 
u226 : 1280952.HJA 11230 (HyphomonasjannaschianaVP2) 
u229 : 1207058.L53 07160 (Hyphomonassp.L-53-1-40) 
u230 : 1280941.HY2 04610 (Hyphomonassp.T16B2) 
u233 : 228405.HNE 2763 (HyphomonasneptuniumATCC15444) 
u234 : 1280954.HPO 10552 (HyphomonaspolymorphaPS728) 
u236 : 1280950.HJO 17319 (HyphomonasjohnsoniiMHS-2) 
u237 : 1280953.HOC 03113 (HyphomonasoceanitisSCH89) 
u246 : 506534.Rhein 0437 (Rheinheimerasp.A13L) 
u247 : 1027273.GZ77 00590 (Endozoicomonasmontiporae) 
u249 : 1121035.AUCH01000013 gene3178 (AzovibriorestrictusDSM23866) 
u250 : 765913.ThidrDRAFT 4336 (ThiorhodococcusdrewsiiAZ1) 
u251 : 765911.Thivi 1496 (ThiocystisviolascensDSM198) 
u252 : 765911.Thivi 3027 (ThiocystisviolascensDSM198) 
u255 : 631362.Thi970DRAFT 01792 (Thiorhodovibriosp.970) 
u256 : 857087.Metme 3233 (MethylomonasmethanicaMC09) 
u257 : 517417.Cpar 0567 (ChlorobaculumparvumNCIB8327) 
u261 : 290315.Clim 1276 (ChlorobiumlimicolaDSM245) 
u262 : 768671.ThimaDRAFT 1656 (Thiocapsamarina5811) 
u264 : 1439940.BAY1663 03122 (Pseudomonassp.BAY1663) 
u265 : 379731.PST 2699 (PseudomonasstutzeriA1501) 
u267 : 644801.Psest 1611 (PseudomonasstutzeriRCH2) 
u268 : 32042.PstZobell 13351 (PseudomonasstutzeriATCC14405) 
u269 : 1196835.A458 08840 (PseudomonasstutzeriCCUG29243) 
u270 : 1212548.B381 21346 (PseudomonasstutzeriNF13) 
u278 : 156889.Mmc1 0424 (MagnetococcusmarinusMC-1) 
u279 : 398767.Glov 0120 (GeobacterlovleyiSZ) 
u282 : 1120963.KB894506 gene3809 (AlgicolasagamiensisDSM14643) 
u283 : 929558.SMGD1 0342 (SulfurimonasgotlandicaGD1) 
u285 : 1304885.AUEY01000004 gene994 (DesulforegulaconservatrixMb1Pa) 
u287 : 1449345.JHWC01000001 gene56 (HelicobacterrodentiumATCC700285) 
u288 : 1565314.OA34 09225 (Sulfurospirillumsp.MES) 
