u1 : 1038860.AXAP01000041 gene2806 (BradyrhizobiumelkaniiWSM2783) 
u2 : 1298867.AUES01000023 gene2733 (Bradyrhizobiumsp.URHA0002) 
u4 : 189753.AXAS01000018 gene3258 (Bradyrhizobiumsp.Ec3.3) 
u5 : 1304878.AUGD01000001 gene885 (Bradyrhizobiumjaponicumin8p8) 
u6 : 1126627.BAWE01000002 gene1408 (Bradyrhizobiumsp.DOA9) 
u7 : 318996.AXAZ01000046 gene1465 (Bradyrhizobiumsp.WSM1743) 
u9 : 335659.S23 68730 (Bradyrhizobiumsp.S23321) 
u10 : 224911.27349191 (BradyrhizobiumdiazoefficiensUSDA110) 
u12 : 1038862.KB893840 gene1070 (BradyrhizobiumjaponicumUSDA124) 
u14 : 319003.Bra1253DRAFT 04729 (Bradyrhizobiumsp.WSM1253) 
u16 : 936455.KI421499 gene6912 (Bradyrhizobiumgenosp.SA-4str.CB756) 
u17 : 1038867.AXAY01000008 gene496 (Bradyrhizobiumsp.WSM3983) 
u18 : 1037409.BJ6T 09580 (BradyrhizobiumjaponicumUSDA6) 
u22 : 1304877.KI519399 gene2585 (Bradyrhizobiumjaponicum22) 
u23 : 1038866.KB902771 gene3602 (Bradyrhizobiumsp.WSM2793) 
u28 : 443598.AUFA01000001 gene1357 (Bradyrhizobiumsp.Cp5.3) 
u31 : 316055.RPE 1865 (RhodopseudomonaspalustrisBisA53) 
u34 : 178901.AmDm5 2530 (Acetobactermalorum) 
u35 : 1379701.JPJC01000091 gene1251 (Sphingomonassp.FUKUSWIS1) 
u36 : 272568.GDI1971 (GluconacetobacterdiazotrophicusPA15) 
u40 : 1382230.ASAP 0132 (AsaiaplatycodiSF2.1) 
u42 : 1208323.B30 11540 (CeleribacterbaekdonensisB30) 
u44 : 391600.ABRU01000050 gene270 (Brevundimonassp.BAL3) 
u45 : 1229204.AMYY01000004 gene1420 (alphaproteobacteriumL41A) 
u46 : 1035191.HMPREF0185 00999 (Brevundimonasdiminuta470-4) 
u47 : 588932.JHOF01000008 gene601 (Brevundimonasnaejangsanensis) 
u51 : 366394.Smed 1460 (SinorhizobiummedicaeWSM419) 
u52 : 392499.Swit 0788 (SphingomonaswittichiiRW1) 
u53 : 1545915.JROG01000004 gene1737 (Sphingomonassp.35-24ZXX) 
u54 : 1248760.ANFZ01000002 gene3050 (Blastomonassp.AAP53) 
u56 : 1537715.JQFJ01000002 gene1726 (Sphingopyxissp.MWB1) 
u57 : 1174684.EBMC1 07105 (Sphingopyxissp.MC1) 
u58 : 1502850.FG91 03777 (Sphingopyxissp.LC81) 
u59 : 317655.Sala 0174 (SphingopyxisalaskensisRB2256) 
u60 : 1120705.FG95 01101 (Sphingopyxissp.LC363) 
u66 : 1550073.JROH01000001 gene539 (Sphingomonassp.37zxx) 
u67 : 1449076.JOOE01000003 gene3487 (Sphingomonassp.UNC305MFCol5.2) 
u69 : 1112214.AHIS01000047 gene2098 (Sphingomonassp.PAMC26605) 
u70 : 1112216.JH594425 gene1080 (Sphingomonassp.PAMC26617) 
u73 : 1379701.JPJC01000206 gene1635 (Sphingomonassp.FUKUSWIS1) 
u74 : 1379701.JPJC01000206 gene1636 (Sphingomonassp.FUKUSWIS1) 
u76 : 1090320.KB900605 gene1264 (SphingomonasmelonisDAPP-PG224) 
u77 : 1549858.MC45 13665 (Sphingomonastaxi) 
u78 : 1470591.BW41 02996 (Sphingomonassp.RIT328) 
u82 : 1007104.SUS17 3331 (Sphingomonassp.S17) 
u83 : 1219049.SP5 040 00400 (SphingomonasparapaucimobilisNBRC15100) 
u86 : 629773.AORY01000015 gene1268 (Sphingomonassp.Mn802worker) 
u87 : 1090319.KE386571 gene2677 (SphingomonasphyllosphaeraeFA2) 
u88 : 1090318.ATTI01000001 gene3393 (Sphingomonasphyllosphaerae5.2) 
u93 : 627192.SLG 34410 (Sphingobiumsp.SYK-6) 
u94 : 1114964.L485 16130 (SphingobiumbaderiLL03) 
u95 : 1346791.M529 19280 (SphingobiumummarienseRL-3) 
u96 : 452662.SJA C1-29130 (SphingobiumjaponicumUT26S) 
u97 : 46429.BV95 02616 (Sphingobiumchlorophenolicum) 
u99 : 13689.BV96 00813 (Sphingomonaspaucimobilis) 
u100 : 1335760.ASTG01000005 gene1052 (Sphingobiumsp.YL23) 
u104 : 1219045.BV98 001800 (SphingobiumherbicidovoransNBRC16415) 
u106 : 1144307.PMI04 04010 (Sphingobiumsp.AP49) 
u107 : 13690.CP98 01083 (Sphingobiumyanoikuyae) 
u111 : 1522072.IL54 4207 (Sphingobiumsp.ba1) 
u112 : 1192759.AKIB01000088 gene2219 (SphingobiumxenophagumQYY) 
u113 : 1207055.C100 17375 (Sphingobiumsp.C100) 
u114 : 1331060.RLDS 14325 (SphingobiumlactosutensDS20) 
u115 : 314266.SKA58 14677 (Sphingomonassp.SKA58) 
u122 : 745310.G432 02170 (Sphingomonassp.MM-1) 
u123 : 1030157.AFMP01000062 gene3548 (Sphingomonassp.KC8) 
u125 : 1114964.L485 03675 (SphingobiumbaderiLL03) 
u126 : 1379701.JPJC01000011 gene3437 (Sphingomonassp.FUKUSWIS1) 
u127 : 629773.AORY01000001 gene2172 (Sphingomonassp.Mn802worker) 
u134 : 314225.ELI 07210 (ErythrobacterlitoralisHTCC2594) 
u135 : 685035.ADAE01000024 gene1822 (CitromicrobiumbathyomarinumJL354) 
u136 : 517722.AEUE01000007 gene279 (Citromicrobiumsp.JLT1363) 
u139 : 237727.NAP1 06445 (Erythrobactersp.NAP1) 
u140 : 161528.ED21 28423 (Erythrobactersp.SD-21) 
u141 : 291985.CCSI01000001 gene2509 (Erythrobactervulgaris) 
u147 : 450851.PHZ c3367 (PhenylobacteriumzucineumHLK1) 
u150 : 1163409.UUA 12925 (RhodanobacterthiooxydansLCS2) 
u151 : 1500893.JQNB01000001 gene2536 (Luteibactersp.9135) 
u152 : 1500890.JQNL01000001 gene3830 (Luteibactersp.9143) 
u156 : 1502851.FG93 04911 (Boseasp.LC85) 
u157 : 1510531.JQJJ01000010 gene2622 (Boseasp.UNC402CLCol) 
u159 : 1336243.JAEA01000006 gene366 (MicrovirgaflocculansATCCBAA-817) 
u161 : 450851.PHZ c0990 (PhenylobacteriumzucineumHLK1) 
u162 : 69395.JQLZ01000002 gene1516 (Caulobacterhenricii) 
u163 : 366602.Caul 3523 (Caulobactersp.K31) 
u164 : 1449049.JONW01000010 gene3539 (Caulobactersp.UNC358MFTsu5.1) 
u170 : 1038858.AXBA01000001 gene3508 (AzorhizobiumdoebereineraeUFLA1-100) 
u171 : 1286093.C266 04512 (Pandoraeasp.SD6-2) 
u173 : 911045.PSE 0350 (Pseudovibriosp.FO-BEG1) 
u174 : 911045.PSE 2189 (Pseudovibriosp.FO-BEG1) 
u176 : 744979.R2A130 2270 (Ahrensiasp.R2A130) 
u177 : 1282876.BAOK01000001 gene2018 (alphaproteobacteriumMf1.05b.01) 
u179 : 501479.ACNW01000091 gene2221 (Citreicellasp.SE45) 
u180 : 411684.HPDFL43 20127 (HoefleaphototrophicaDFL-43) 
u181 : 1535287.JP74 05895 (Devosiasp.17-2-E-8) 
u186 : 575564.HMPREF0014 00806 (Acinetobactersp.RUH2624) 
u187 : 470.IX87 04180 (Acinetobacterbaumannii) 
u190 : 1550073.JROH01000025 gene1019 (Sphingomonassp.37zxx) 
u191 : 1090320.KB900605 gene544 (SphingomonasmelonisDAPP-PG224) 
u192 : 1549858.MC45 09990 (Sphingomonastaxi) 
u193 : 1470591.BW41 02118 (Sphingomonassp.RIT328) 
u197 : 1112214.AHIS01000035 gene1068 (Sphingomonassp.PAMC26605) 
u198 : 1449076.JOOE01000002 gene1482 (Sphingomonassp.UNC305MFCol5.2) 
u201 : 1537715.JQFJ01000002 gene610 (Sphingopyxissp.MWB1) 
u202 : 1174684.EBMC1 09139 (Sphingopyxissp.MC1) 
u203 : 317655.Sala 1090 (SphingopyxisalaskensisRB2256) 
u204 : 1120705.FG95 01984 (Sphingopyxissp.LC363) 
u205 : 1502850.FG91 02446 (Sphingopyxissp.LC81) 
u210 : 1545915.JROG01000010 gene2886 (Sphingomonassp.35-24ZXX) 
u211 : 1248760.ANFZ01000018 gene700 (Blastomonassp.AAP53) 
u213 : 1192759.AKIB01000023 gene2947 (SphingobiumxenophagumQYY) 
u214 : 13690.CP98 02394 (Sphingobiumyanoikuyae) 
u215 : 1144307.PMI04 03319 (Sphingobiumsp.AP49) 
u217 : 1114964.L485 18900 (SphingobiumbaderiLL03) 
u218 : 1346791.M529 11155 (SphingobiumummarienseRL-3) 
u219 : 1522072.IL54 3894 (Sphingobiumsp.ba1) 
u220 : 1331060.RLDS 22750 (SphingobiumlactosutensDS20) 
u221 : 314266.SKA58 08859 (Sphingomonassp.SKA58) 
u231 : 158500.BV97 00752 (Novosphingobiumresinovorum) 
u232 : 314225.ELI 05955 (ErythrobacterlitoralisHTCC2594) 
u233 : 685035.ADAE01000018 gene684 (CitromicrobiumbathyomarinumJL354) 
u234 : 517722.AEUE01000006 gene1848 (Citromicrobiumsp.JLT1363) 
u237 : 1248917.ANFX01000008 gene276 (Porphyrobactersp.AAP82) 
u238 : 1479239.JQMU01000001 gene2695 (Porphyrobactersp.HL-46) 
u239 : 383381.EH30 05895 (Erythrobactersp.JL475) 
u240 : 1044.EH31 01725 (Erythrobacterlongus) 
u249 : 246197.MXAN 0224 (MyxococcusxanthusDK1622) 
u250 : 1232437.KL662031 gene2544 (Desulfobaculasp.TS) 
u251 : 713586.KB900536 gene533 (ThioalkalivibriothiocyanodenitrificansARhD1) 
u252 : 314345.SPV1 06999 (MariprofundusferrooxydansPV-1) 
u256 : 631362.Thi970DRAFT 04999 (Thiorhodovibriosp.970) 
u257 : 1195246.AGRI 12207 (AlishewanellaagriBL06) 
u258 : 1129374.AJE 10348 (AlishewanellajeotgaliKCTC22429) 
u261 : 378806.STAUR 4929 (StigmatellaaurantiacaDW4/3-1) 
u262 : 1336235.JAEG01000008 gene1348 (RhizobiumselenitireducensATCCBAA-1503) 
u263 : 1380394.JADL01000003 gene4911 (RhodospirillalesbacteriumURHD0088) 
u264 : 1380391.JIAS01000002 gene3133 (Dongiasp.URHE0060) 
u265 : 935840.JAEQ01000002 gene3436 (Chelativoranssp.J32) 
u268 : 1247726.MIM c35450 (AdvenellamimigardefordensisDPN7) 
